gene,astrocyte,central nervous system macrophage,endothelial cell,ependymal cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
AC012349,0.0,0.0,0.0,0.0,0.0,0.0,0.37500199567390535,0.0,0.0,0.0,0.5015415493684159
AL110292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8942023582960322,0.0,0.0
BACH2,0.07543859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.2770746189488394,0.27178165714632646,0.0,0.0
LINC01967,0.0,0.0,0.0,0.0,0.23420445552207692,0.0,0.21555620352821112,0.0,0.0,0.0,0.0
SMYD2,0.0,0.0,0.72328016960813,0.2926244700154912,0.0,0.0,0.08031418574136172,0.0,0.0,0.0,0.0
AC087321,0.0,0.0,0.0,0.0011872031992002,0.0,0.0,0.38159765402664925,0.0,0.0,0.0,0.0
AC004704,0.05840220385674931,0.0,0.0,0.0,0.0,0.0,0.5351562201697024,0.0,0.0,0.0,0.0
LGR5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8984511571986913,0.5570497827698077,0.0,0.0
AL353604,0.0,0.0,0.23198130948150486,0.0,0.0,0.0,0.26676831006684587,0.0,0.0,0.0,0.0
PTPRQ,0.0,0.0,0.0,0.6650749780738977,0.0,0.0,0.1939604898673276,0.0,0.0,0.0,0.030890052356020943
PDYN,0.0,0.0,0.1387589263728146,0.0,0.0,0.0,0.21808937162851727,0.0,0.0,0.15389369592089,0.0
FER1L6-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.6848351659575413,0.0,0.0,0.0,0.0
AC138646,0.0,0.0,0.0,0.0,0.0,0.0,0.6102850579902808,0.0,0.0,0.0,0.0
TH,0.0,0.0,0.0,0.0,0.0,0.0,0.2960207841773526,0.0,0.0,0.0,0.0
AC010425,0.0,0.0,0.0,0.0,0.0,0.0,0.38006753866863546,0.0,0.0,0.0,0.0
LINC01152,0.0,0.0,0.0,0.0,0.0,0.0,0.10765053214754337,0.0,0.47739576576109255,0.0,0.0
ADORA2A-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.6323269101973465,0.0,0.0,0.0,0.0
SOX9-AS1,0.0022145669291338582,0.0,0.0,0.0,0.0,0.0,0.1988406582022022,0.0,0.6533032955429041,0.0,0.0
DRD2,0.0,0.0,0.0,0.0,0.0,0.0,0.5149367796882298,0.0,0.0,0.0,0.0
AC073325.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6817634305762591,0.0,0.0,0.0,0.0
LINC01378,0.0,0.0,0.0,0.0,0.0,0.0,0.6252923326988767,0.0,0.0,0.0,0.0
ADORA2A,0.0,0.0,0.0,0.0,0.0,0.0,0.2245954220731885,0.0,0.0,0.5170623436553407,0.0
DDO,0.04426078971533517,0.0,0.0,0.0,0.0,0.0,0.3957989872300992,0.0,0.0,0.0,0.0
GPR6,0.0,0.0,0.0,0.0,0.0,0.5997839091706811,0.22386645283569034,0.0,0.0,0.0,0.0
AC008825.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6079858930509054,0.0,0.0,0.0,0.0
DRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.22253608397725616,0.0,0.0,0.0,0.08704188481675393
LINC01951,0.0,0.0,0.0,0.0,0.0,0.0,0.3293766689143521,0.0,0.0,0.0,0.16983559634083195
AP003121,0.0,0.0,0.0,0.0,0.0,0.0,0.7253884235712332,0.0,0.0,0.0,0.0
EBF1,0.0,0.0,0.24486618342348096,0.0,0.14577885692939857,0.0,0.22862297711036594,0.0,0.0,0.38920954982541656,0.3279784021845939
AP003481,0.0,0.7908793530472011,0.0,0.0,0.0,0.0,0.30911686122513504,0.0,0.0,0.0,0.0
MDFIC2,0.0,0.0,0.0,0.0,0.0,0.0,0.5385335791446823,0.046539379474940336,0.0,0.0,0.0
AC016987.1,0.0,0.0,0.0,0.395149721033217,0.0,0.0,0.20742819653010644,0.0,0.0,0.0,0.0
KCNK15,0.0,0.0,0.0,0.16683329167708072,0.0,0.0,0.30266752338073066,0.0,0.0,0.0,0.0
AL590867,0.35427898671111385,0.0,0.0,0.02818045488627843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520617417974768,0.0,0.0,0.0
AC073082,0.0,0.0,0.0,0.0,0.4895355370484531,0.0,0.0,0.0,0.46192028364822235,0.0,0.0
PNMA5,0.0,0.44749921839806894,0.0,0.0,0.0,0.0,0.11381032220440297,0.0,0.0,0.0,0.0
AC092028,0.0,0.0,0.0,0.11315921019745064,0.0,0.0,0.3805082251980962,0.0,0.0,0.0,0.0
BTN3A3,0.0,0.2839245283453607,0.0,0.0,0.0,0.0,0.0,0.0,0.20299442290107714,0.0,0.0
CYP19A1,0.07187363358111062,0.5265043224443661,0.0,0.0,0.0,0.0,0.0,0.03118459606529929,0.0,0.0,0.0
FAM9B,0.0,0.0,0.0,0.0,0.0,0.8324381322195347,0.15098775331681002,0.0,0.0,0.0,0.0
GABRQ,0.0,0.0,0.0,0.0,0.0,0.0,0.013030325120279924,0.0,0.6480888980318502,0.0,0.0
ST8SIA6-AS1,0.0,0.0,0.6895727205398885,0.0,0.4526154099091384,0.0,0.0,0.0,0.0,0.0,0.0
PCDH11Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8582745570816572,0.0,0.0
ZNF804B,0.0,0.0,0.0,0.0,0.0,0.0,0.13345604315497886,0.0,0.2917880158578535,0.0,0.0
NPFFR2,0.0,0.0,0.0,0.0,0.0,0.0,0.5633710646447316,0.0,0.0,0.0,0.0
LMNTD1,0.41858819140587344,0.0,0.2455311935602682,0.8903913460955024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.18380959323516546,0.0,0.0,0.0,0.0
FRMD6-AS1,0.3887680575747843,0.0,0.0,0.462492499139141,0.0,0.0,0.0,0.16580915913805433,0.25789507745457163,0.43098888339561453,0.0
AC068880.4,0.6267575480408296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12767222251462712,0.0,0.0
MTND4P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8777800772627218,0.0
VIM-AS1,0.0,0.0,0.0,0.01036357458375807,0.0,0.0,0.16228677649803178,0.0,0.0,0.43715101615625834,0.0
PTH2R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8482048187704988,0.0,0.0
TRGC1,0.0,0.0,0.9843843645069172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCTD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5596682676809938,0.03704756490430169,0.11794396374124433,0.0
FAM110C,0.0,0.0,0.0,0.5062621337182982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXFP1,0.0,0.0,0.0,0.0,0.0,0.0,0.21564732468289838,0.0,0.0,0.0,0.4858614675977695
CASZ1,0.0,0.0,0.0,0.2195243627585028,0.1384385421367989,0.0,0.19445254410263887,0.0,0.0,0.0,0.0
FBXL21,0.0,0.0,0.0,0.0,0.0,0.0,0.5743464571442879,0.0,0.0,0.0,0.0
ILDR2,0.0,0.0,0.0,0.16634199313340478,0.0,0.0,0.0,0.0,0.9002571892565623,0.0,0.0
FRMD7,0.0,0.0,0.0,0.0,0.0,0.0,0.5583138016505277,0.0,0.0,0.0,0.0
CALCRL,0.0,0.0,0.4368676558334876,0.0,0.0,0.0,0.0,0.0,0.611198336572325,0.0,0.025636492220650637
LINC01735,0.0,0.0,0.0,0.0,0.0,0.0,0.3930556045983299,0.0,0.0,0.0,0.0
SCN5A,0.0,0.0,0.0,0.0,0.4448677429833032,0.0,0.18869368712640328,0.0,0.0,0.0,0.0
LUZP2,0.0,0.0,0.0,0.14119838731109852,0.0,0.12531525851197983,0.0,0.0,0.8276342319816932,0.0,0.0
LECT2,0.0,0.0,0.0,0.0,0.0,0.0,0.41356850148412394,0.0,0.0,0.0,0.0
TRHDE-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.22965002160986245,0.0,0.12126939912455233,0.0,0.0
STAC,0.0,0.0,0.0,0.0,0.0,0.0,0.2241944889925645,0.0,0.0,0.6278718111780386,0.5699273121084556
HIGD1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8670631209292019,0.0
NCF4-AS1,0.0,0.45648988679621505,0.0,0.0,0.0,0.0,0.0,0.11636668061950607,0.0,0.0,0.0
LINC02456,0.0,0.41721526174693524,0.0,0.0,0.0,0.0,0.1340027700831025,0.0,0.0,0.0,0.0
AC012593,0.7797205881180045,0.0,0.0,0.0,0.0,0.0,0.0,0.8451611418937627,0.6413834742110776,0.0,0.0
AL445250,0.0,0.0,0.0,0.3260089536097903,0.7027202294988459,0.0,0.0,0.31514309125929263,0.8277446027150999,0.0,0.0
DLX1,0.18034894398530762,0.0,0.0,0.0,0.0,0.0,0.18380404172111853,0.0,0.0,0.0,0.0
VAX1,0.7680334059544713,0.0,0.0,0.17332365232608557,0.0,0.0,0.0,0.3767360765813145,0.04870497840831892,0.0,0.0
ABI3BP,0.7559853363752158,0.0,0.0,0.6899078641623642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THSD7B,0.0,0.0,0.0,0.0,0.0,0.0,0.2307187636681732,0.0,0.0,0.7750696832425106,0.0
LINC01931,0.21275352646554313,0.0,0.0,0.0,0.42224396039485357,0.0,0.0,0.17789143796366802,0.20469110598414947,0.0,0.0
PCDH18,0.12002741092574785,0.0,0.39274886732253245,0.04707938655841227,0.3809671592700238,0.0,0.0,0.0,0.0,0.9025250459468684,0.4729757663423231
EGF,0.17755724501095832,0.0,0.0,0.12265683579105224,0.0,0.0,0.1054818486659863,0.0,0.0,0.0,0.0
CXCL13,0.03645605596851771,0.17228269750791156,0.0,0.0,0.0,0.922237940228245,0.0,0.0,0.0004598405885959534,0.0,0.0
AF130359,0.6420725889759618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ006995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6736810633531112,0.0,0.0,0.0
AP001636,0.0,0.5370561548645075,0.0,0.0,0.0,0.0,0.0,0.0,0.046330805560774305,0.0,0.0
IQGAP2,0.0,0.1869697158864831,0.011491628614916287,0.5266139113719164,0.4173878304901839,0.6128062405732183,0.0,0.0,0.0,0.0,0.17123896831953256
TP53I11,0.0,0.5802272424467119,0.0,0.0,0.2131048909694483,0.0,0.0718763668173203,0.0,0.0,0.0,0.0
AC010230,0.0,0.0,0.0,0.0,0.0,0.0,0.3846141278673678,0.0,0.0,0.0,0.0
AL133346,0.01490785312933481,0.0,0.008600583090379008,0.30356475331708416,0.18490803674379666,0.0,0.0,0.2744276697162116,0.607773920219876,0.0,0.10077793493635077
NKD2,0.0,0.0,0.0,0.24884194600430276,0.7659369304157397,0.0,0.0,0.0,0.092924528630719,0.0,0.0
KIF26A,0.0,0.0,0.0,0.26477629539509595,0.4952878930654444,0.0,0.0,0.0,0.0,0.7472300725118276,0.0
AC062021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9851023126369249,0.0,0.0
NR2F2-AS1,0.4192937680125486,0.0,0.0,0.34289025310396865,0.5036020695360354,0.0,0.0,0.0,0.48004057727930294,0.8500944163613063,0.42053784634823566
COL21A1,0.2930784619197087,0.0,0.0,0.660180458465155,0.0,0.0,0.0,0.0,0.0,0.0,0.19012627415649835
CACNA1G,0.0,0.0,0.0,0.0,0.0,0.0,0.04191573115614521,0.0,0.7889300134829901,0.0,0.0
AC018647.1,0.16613552473987386,0.0,0.0,0.0,0.0,0.0,0.0,0.9540040697232983,0.0,0.0,0.0
ARHGAP36,0.5115987050092266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4628236933335528,0.0,0.0
ASCL1,0.33880886461700915,0.0,0.0,0.30051406355393895,0.0,0.0,0.0,0.0,0.9494640484230712,0.0,0.0
CA4,0.05568019185813624,0.0,0.8451612593666405,0.0,0.29082566740870996,0.0,0.0,0.0,0.0,0.9338746893216365,0.0
AC034206,0.5299816848317982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYPD6B,0.0,0.0,0.0,0.0,0.20287117491499812,0.0,0.20469456188948826,0.0,0.0,0.0,0.0
PLS3,0.3974525616049591,0.0,0.05671197376537047,0.3270772898881178,0.16684717907134244,0.0,0.0,0.4598580575330659,0.0,0.4148054105734407,0.7071883831375446
NXPH3,0.5222800183591699,0.0,0.0,0.5239875123094537,0.0,0.0,0.0,0.0,0.1680103010565964,0.0,0.0
AC137770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8324650687759985
ADAM33,0.38643029933724826,0.0,0.0,0.0,0.5838580215025204,0.0,0.0,0.0,0.0,0.7659608668225615,0.36057412003431266
GREM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9578054769105269,0.0,0.0,0.0
NDST4,0.0,0.0,0.0,0.0,0.0,0.0,0.22829494095349176,0.0,0.0,0.0,0.4065188393138363
AC011773.3,0.07453474635429852,0.07293182269327182,0.0,0.20301358149287563,0.0,0.0,0.0,0.0,0.24494936044081006,0.0,0.0
C12orf42,0.08187697885804987,0.7291323824599933,0.0,0.5294564429551731,0.0,0.0,0.0,0.0,0.20788480649050567,0.0,0.0
NRP2,0.409002989069983,0.36668045990746667,0.3837852022775303,0.23190144776003424,0.33900931907152465,0.0,0.0,0.33289946309885865,0.10967914042720006,0.5609714618496582,0.0
FREM3,0.0,0.0,0.0,0.0,0.0,0.0,0.08583612771541041,0.0,0.36147948605539704,0.0,0.0
IGFBP3,0.0,0.0,0.9271801508138353,0.0,0.0,0.0,0.10517203674004957,0.0,0.0,0.0,0.0
COL4A1,0.0,0.0,0.7182053309692086,0.0,0.3347230827089743,0.0,0.025021869077124944,0.0,0.06073526624976312,0.6805019206261687,0.36367606917247497
LINC00298,0.9317158089125281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC132803,0.0,0.0,0.0,0.0,0.0,0.0,0.26646570578329964,0.0,0.0939116593712694,0.0,0.0
PRELID2,0.2856624782331868,0.2050131795554908,0.7357354477560275,0.06201149536272626,0.0,0.0,0.0,0.023985239852398525,0.0,0.0,0.5324506492312581
EYA4,0.0,0.0,0.0,0.8924629272155592,0.0,0.0,0.0,0.47770200576226274,0.0,0.0,0.0
MYO16,0.14734722540462675,0.0,0.0,0.5298166404223122,0.0,0.0,0.0,0.0,0.826650869619626,0.0,0.0
ROR2,0.0,0.0,0.0,0.8566242022212983,0.7092575498028726,0.0,0.0,0.0,0.26705030866919327,0.0,0.0
