gene,astrocyte,central nervous system macrophage,endothelial cell,ependymal cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
LOR,0.0,0.0,0.0,0.0,0.0,0.0,0.19064600356203432,0.0,0.7825546420359852,0.0,0.0
PKD2L1,0.0,0.12115165336374002,0.0,0.0,0.0,0.0,0.2752991009949884,0.0,0.0,0.0,0.0
AL121748.1,0.0,0.0,0.0,0.0,0.0,0.7707665736678392,0.17040794006671406,0.0,0.0,0.0,0.0
AL391097.1,0.06442577030812324,0.0,0.0,0.0,0.0,0.0,0.48386867146716417,0.0,0.0,0.0,0.0
IL10,0.0,0.8170033165524122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00922,0.0,0.0,0.0,0.0,0.25726619439971926,0.0,0.16939629244818724,0.0,0.0,0.0,0.0
ZNF385D-AS2,0.0,0.0,0.0,0.0,0.13886932743874986,0.0,0.6910009018815495,0.0,0.0,0.0,0.0
LINC01724,0.0,0.489785145818865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02133,0.0,0.0,0.0,0.0,0.14193816144428303,0.0,0.3911160323830651,0.0,0.0,0.0,0.0
AL354993,0.0,0.0,0.0,0.008225765628954695,0.0,0.0,0.3262001921989937,0.0,0.0,0.0,0.0
AC107208,0.1781045751633987,0.0,0.0,0.0,0.0,0.0,0.25177567735766065,0.0,0.06306306306306306,0.0,0.0
TRIM22,0.0,0.4553185438931011,0.35522633184532837,0.0,0.3686277612737745,0.2516245331975091,0.008352928309728223,0.0,0.0,0.0004284490145672665,0.0
AL031674,0.0,0.0,0.0,0.0,0.0,0.0,0.49024401965337405,0.0,0.0,0.0,0.0
NIPAL1,0.0,0.0,0.0,0.0,0.0,0.0,0.445141124094721,0.0,0.0,0.0,0.0
AC009227.1,0.0,0.0,0.0,0.0,0.0,0.0,0.14520746124278416,0.0,0.49828091262207996,0.0,0.0
RPSAP52,0.5640149284631447,0.0,0.0,0.0,0.0,0.0,0.015653196259637993,0.0,0.0,0.0,0.0
FER1L6-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.6694218712030281,0.0,0.0,0.0,0.0
AC005358.1,0.0,0.0,0.0,0.5156060845982047,0.0,0.0,0.10290096790069449,0.0,0.0,0.0,0.0
QRFPR,0.0,0.0,0.0,0.0,0.1993152106246109,0.0,0.31853177735528804,0.0,0.0,0.0,0.0
C12orf75,0.0,0.6673674257127256,0.0,0.29552717069003714,0.0,0.046109146033350173,0.03685678350740963,0.0,0.0,0.0,0.0
TRPC3,0.0,0.0,0.0,0.0,0.0,0.0,0.1826297369716192,0.0,0.18434909594399793,0.8628761960526612,0.0
PRKG2,0.0,0.0,0.0,0.0,0.028762975778546713,0.0,0.23019392877140804,0.0,0.7411291634284373,0.0,0.0
GPC5-AS2,0.8531750742506996,0.0,0.0,0.0,0.0,0.0,0.00516760540274512,0.0,0.0,0.5030104316611335,0.0
AL109930,0.020230314347961405,0.0,0.0,0.0,0.0,0.0,0.26025276735509106,0.0,0.0,0.0,0.0
AC129807,0.18176159352629942,0.11174458380843785,0.0,0.0,0.0,0.0,0.18157334014783572,0.0,0.0,0.0,0.0
AL391097,0.0,0.0,0.6660290221111937,0.0,0.0,0.0,0.20119483786296277,0.0,0.0,0.0,0.0
RAMP3,0.0,0.0,0.6599624973853925,0.0,0.0,0.0,0.0957237381746596,0.0,0.0,0.0,0.0
MAP3K8,0.08398163465808299,0.3498172707553892,0.16388456147890465,0.2269577672672135,0.0,0.6773005816060751,0.01637775468912342,0.0,0.0,0.0,0.0
C14orf39,0.0,0.0,0.0,0.0,0.0,0.0,0.1970662219062722,0.0,0.0,0.6769238601814462,0.0
AC023136,0.0,0.0,0.0,0.0,0.10645362108321228,0.0,0.5537144584683726,0.0,0.0,0.0,0.0
KCNS3,0.0,0.0,0.0,0.0,0.3047435004899429,0.0,0.14455624213922458,0.0,0.0,0.0,0.0
AC009264,0.0,0.0,0.0,0.0,0.0,0.0,0.6271620623262683,0.0,0.0,0.0,0.0
ADAMTS9,0.8932235803022349,0.0,0.0,0.3248147053521646,0.0,0.0,0.0,0.0,0.33291646250094037,0.0,0.0
COL9A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516079661516943,0.23571668939007595,0.0
TSHZ2,0.0,0.0,0.07058684892764554,0.0,0.0,0.0,0.16898616503527095,0.0,0.0,0.0,0.0
DPP10-AS2,0.7189233885849855,0.0,0.0,0.4054227408536135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL451164.1,0.0,0.0,0.0,0.18084029359655784,0.0,0.0,0.266820542499896,0.0,0.0,0.0,0.0
SEC24D,0.0,0.0,0.0,0.0,0.22137809551384505,0.0,0.192459123967846,0.0,0.0,0.0,0.0
NR4A3,0.0,0.0,0.1948538219144938,0.5559698212780945,0.0,0.0,0.2093016897249412,0.0,0.0,0.0,0.0
PCSK1,0.0,0.09872671987837324,0.0,0.0,0.0,0.0,0.2647497784616292,0.0,0.0,0.0,0.0
RARB,0.08996964035497432,0.0,0.0,0.04583527221963704,0.1886475892644647,0.0,0.12102859955159403,0.0,0.0,0.0,0.658776379324242
AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.4132770178084978,0.0,0.0,0.0,0.0
NXPH2,0.0,0.0,0.0,0.0,0.0,0.0,0.6855028665446052,0.0,0.0,0.0,0.0
FLT3,0.0,0.0,0.0,0.0,0.0,0.33420176273696456,0.34694907385020085,0.0,0.0,0.0,0.0
FAM89A,0.0,0.0,0.6721386919295765,0.0,0.0,0.0,0.12350303494285558,0.0,0.2852187402788311,0.0,0.0
DAPL1,0.0,0.0,0.0,0.0,0.0,0.0,0.03343905506644064,0.0,0.7976067580652388,0.0,0.0
WFDC2,0.0,0.0,0.0,0.0,0.08092965345507366,0.0,0.17054156493848982,0.0,0.0,0.0,0.0
FERMT1,0.0,0.0,0.0,0.0,0.5743013427578475,0.0,0.0,0.0,0.9513907789579636,0.0,0.0
CYP26B1,0.0,0.0,0.0,0.0,0.0,0.0,0.25678180552323315,0.0,0.2528572388266266,0.0,0.0
CA1,0.14019585960698805,0.0,0.0,0.0,0.0,0.0,0.1174058074041669,0.0,0.5900166533673304,0.0,0.0
PAPSS2,0.0,0.0,0.5381155438178161,0.0,0.0,0.0,0.19396292448187236,0.0,0.0,0.7412464418273097,0.0
FAT1,0.3628933389780722,0.0,0.0,0.38591466417199316,0.0,0.0,0.0,0.0,0.0,0.0,0.7771459653631924
GABRG1,0.7162864555535344,0.0,0.0,0.7561865073321561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01844,0.0,0.0,0.0,0.0,0.0,0.0,0.5218492793501769,0.0,0.16138253638253638,0.0,0.0
MC4R,0.0,0.0,0.0,0.0,0.0,0.0,0.5311445679730148,0.0,0.0,0.0,0.0
AC005618.1,0.0825552443199502,0.0,0.0,0.0,0.0,0.0,0.054027451194837865,0.0,0.5186208604774307,0.0,0.0
FER1L6-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.4549120907367846,0.0,0.0,0.0,0.0
AC020637,0.0,0.0,0.0,0.1259807643634523,0.0,0.0,0.44895906997683194,0.0,0.0,0.0,0.0
CHRM2,0.0,0.0,0.0,0.0,0.0,0.0,0.7261202229420057,0.0,0.0,0.0,0.0
HS3ST3A1,0.0,0.0,0.0,0.0,0.0,0.0,0.6276301223792246,0.0,0.0,0.0,0.0
HBA1,0.0,0.0,0.6438507616979505,0.0,0.0,0.0,0.07806091759173184,0.0,0.0,0.0,0.0
CCDC80,0.7835703007208046,0.0,0.0,0.0,0.8640911889714965,0.0,0.0,0.0,0.0,0.0,0.0
GREM2,0.0,0.0,0.36488350187103086,0.0,0.0,0.0,0.5566543843294007,0.0,0.0,0.0,0.0
ABCC9,0.503701327656337,0.0,0.0,0.5117859694312509,0.0,0.0,0.0,0.0,0.0,0.8929802730959984,0.0
FAM198B,0.4233148422119093,0.3799719546717122,0.0,0.3838561121820751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARX2,0.20120839920818076,0.0,0.0,0.9526417477605732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0,0.4811057606374264,0.0,0.0,0.0,0.01878612716763006,0.7409332857033601,0.0
STAP1,0.0,0.06394906879513493,0.0,0.0,0.0,0.0,0.267894592152307,0.0,0.1546257796257796,0.0,0.0
GDNF-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538884007029877,0.8987590760027566,0.0,0.0
AL356108,0.0,0.0,0.0,0.0,0.07729819464619216,0.0,0.3268142416210455,0.0,0.0,0.0,0.0
LINC01186,0.0,0.0,0.0,0.16021260440394836,0.0,0.0,0.3124485222843244,0.0,0.0,0.0,0.0
MIR31HG,0.0,0.7944479262147043,0.0,0.2643101498964691,0.0,0.0,0.050322633564827475,0.0,0.0,0.0,0.0
AC008992,0.0,0.0,0.0,0.0,0.0,0.0,0.28457553199911384,0.0,0.2999247144655308,0.0,0.0
TMEM155,0.0,0.0,0.0,0.0,0.0,0.0,0.5252172123439329,0.0,0.0,0.0,0.0
LINC02444,0.0,0.65262649403872,0.0,0.0,0.0,0.0,0.0021873462022201566,0.0,0.0,0.0,0.0
SEMA3E,0.0,0.0,0.0,0.0,0.0,0.0,0.11866626457717,0.0,0.8929295559392035,0.0,0.0
NPSR1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.49675004502697834,0.0,0.0,0.0,0.0
IFNG-AS1,0.0,0.0,0.0,0.0,0.0,0.302432546788464,0.0,0.5737468571419957,0.0,0.0,0.0
AC091951,0.0,0.0,0.0,0.09769678562389268,0.0,0.0,0.10832832066495325,0.0,0.14760914760914762,0.0,0.0
LINC02218,0.0,0.0,0.0,0.044798785117691725,0.0,0.0,0.6552134598568802,0.0,0.0,0.0,0.0
AC087516,0.0,0.0,0.0,0.0,0.0,0.0,0.6263326587419026,0.0,0.0,0.0,0.0
AL161909.1,0.1828494421456801,0.0,0.0,0.31280173567612446,0.0,0.0,0.008817739377700005,0.0,0.0,0.0,0.0
EMILIN2,0.0,0.1311181497240833,0.0,0.0,0.24549820807763723,0.4826050566781767,0.0,0.08231667812078158,0.31290778079818804,0.0,0.0
FABP7,0.0,0.0,0.0,0.2549339753761263,0.0,0.0,0.08033028927653524,0.0,0.5605963275642915,0.0,0.0
CALCRL,0.314776043452218,0.0,0.26848056125821884,0.0,0.3733906526559024,0.0,0.0,0.0,0.8403124283954542,0.2972640841772218,0.0
KRT8P3,0.681325848791068,0.0,0.0,0.02177754677754678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIWIL1,0.0,0.0,0.0,0.0,0.0,0.0,0.356905270691414,0.05153846153846154,0.0,0.0,0.0
TPBGL,0.0,0.0,0.0,0.0,0.1588503838970741,0.0,0.1879714161516532,0.0,0.03127165627165627,0.0,0.0
SOWAHB,0.0,0.0,0.0,0.25454355815926755,0.0,0.0,0.14298663273284148,0.0,0.0,0.0,0.0
LPIN3,0.47360390101919003,0.07567764804728846,0.0,0.0,0.6088884503273168,0.0,0.0,0.0,0.0,0.3696624654053313,0.0
MIR3681HG,0.0,0.0,0.0,0.0,0.0,0.0,0.07610597692349756,0.0,0.8285723006864986,0.0,0.0
SLC9C1,0.0,0.0,0.33568203180722045,0.08437243814619105,0.0,0.0,0.19270520041559577,0.0,0.0,0.0,0.0
NPSR1,0.0,0.0,0.0,0.0,0.0,0.0,0.6683791720587066,0.0,0.0,0.0,0.0
LINC01194,0.0,0.0,0.0,0.0,0.0,0.0,0.2217148794225406,0.0,0.0,0.5456728790784507,0.0
ADAMTS6,0.0,0.0,0.2317410523211645,0.0,0.0,0.0,0.15247170120850878,0.0,0.7122172313730627,0.0,0.0
LINC01239,0.4719083714048472,0.0,0.0,0.0,0.0,0.0,0.14678037511955072,0.0,0.0,0.0,0.0
DPP10-AS3,0.8852431825215026,0.0,0.0,0.6275845000162368,0.0,0.0,0.1525974025974026,0.0,0.0,0.0,0.0
SLC15A5,0.7224951983165708,0.0,0.0,0.021197165274614023,0.0,0.0,0.02170941105703505,0.0,0.0,0.0,0.0
