gene,Ast,End,Exc,Inh,Mic,NC,OPC,Olig,Per,VLMC
AC131235.2,0.0,0.0,0.0,0.03604004449388209,0.0,0.273980616433326,0.0,0.58707730748236,0.0,0.0
A1BG,0.0,0.0,0.192968092074483,0.0,0.0,0.0,0.0,0.31219536918465396,0.30323475790169874,0.0
A1BG-AS1,0.0,0.0,0.4832627988890636,0.08141825344714379,0.0,0.06980395160055139,0.0,0.05815143246930423,0.0,0.0
A1CF,0.0,0.0,0.12187704687938616,0.0,0.0,0.3628916208701287,0.0,0.0,0.0,0.0
A2M,0.043981155955561804,0.5373215708432688,0.0,0.0,0.5529447835722661,0.0,0.038923719958202714,0.0,0.29522536265592353,0.0
A2ML1,0.5276922170936474,0.0,0.0,0.0,0.0,0.1910110993253056,0.0,0.0,0.0,0.0
A2MP1,0.0,0.7939151395185351,0.03857490408908019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.2344840921942309,0.3642866441030982,0.0,0.0,0.10575641940405876,0.4357198334483874,0.0,0.005528896307114542,0.7271845565467957,0.3155049311401103
AAAS,0.23134829757350822,0.0,0.06554692617198465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACS,0.0,0.0,0.3999085034782404,0.0,0.0,0.11190201153504001,0.0,0.0,0.0,0.0
AACSP1,0.0,0.0,0.40449788186337016,0.0,0.0,0.2754016049988973,0.0,0.0,0.0,0.0
AADACL2,0.0,0.47241633204960065,0.15724712267240573,0.0,0.0,0.09560244845360824,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0,0.0,0.6195665450173856,0.31901848096615026,0.0,0.0,0.0,0.0
AADACL3,0.09922582967951246,0.0,0.0,0.009733036707452725,0.0,0.43564116923005103,0.0,0.0,0.0,0.0
AADACL4,0.14009542764140137,0.0,0.0,0.0,0.0,0.5684703079735675,0.0,0.32890828109084524,0.0,0.0
AADAT,0.15525797380512557,0.0,0.024796481706746514,0.0,0.0,0.0,0.041526138279932547,0.0,0.0,0.0
AAED1,0.0,0.0,0.10171236081220174,0.0,0.11584042610482062,0.0,0.0,0.03316848567530696,0.0,0.0
AAGAB,0.0,0.0,0.17804341723589406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,0.0,0.0,0.2218676122931442,0.23911587560225536,0.0,0.2467098336491893,0.0,0.0,0.0,0.0
AAMDC,0.24884773244180858,0.0,0.0,0.0,0.0,0.10861927931653544,0.05805903866248694,0.17082203213018987,0.0,0.0
AAMP,0.0,0.0,0.0,0.029699666295884317,0.0,0.0,0.0,0.0,0.0,0.0
AANAT,0.0,0.0,0.0,0.0,0.6926011098865366,0.14156424073543428,0.0,0.0,0.0,0.0
AARD,0.0,0.0,0.0,0.7379439665468972,0.0,0.0,0.0,0.0,0.07329358552631579,0.0
AARS,0.0,0.0,0.0,0.05613342898134864,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,0.0,0.0,0.0,0.1823171145878144,0.0,0.2914411250835311,0.0,0.0,0.0,0.0
AARSD1,0.0,0.0,0.14653317114250958,0.057534471437951415,0.0,0.0,0.0,0.0,0.0,0.0
AASDH,0.22684467600348568,0.0,0.0,0.1925968276564268,0.0,0.04569383028005896,0.0,0.0,0.0,0.0
AASDHPPT,0.0,0.0,0.1555779882947495,0.051625082074852266,0.0,0.0,0.0,0.0,0.0,0.0
AASS,0.5776268164822541,0.0,0.0,0.0,0.17001529302867757,0.0,0.457926412667792,0.4531829483509764,0.23309547290915417,0.3265371297130255
AATBC,0.0,0.0,0.02285487040329372,0.0,0.0,0.028183988735954155,0.0,0.3667187641008807,0.0,0.0
AATF,0.0,0.0,0.004117151679610742,0.0,0.0,0.030506422404716783,0.0,0.138326726476111,0.0,0.06507276507276508
AATK,0.0,0.0,0.0,0.0,0.0,0.14326700357970099,0.0,0.6962087714396241,0.0,0.0
AATK-AS1,0.0,0.0,0.16088981132121485,0.003447143795141169,0.0,0.2345094821681855,0.0,0.08978512960436562,0.0,0.0
ABAT,0.0,0.0,0.0,0.4978626562649896,0.0,0.22908285222282282,0.0,0.0,0.0,0.0
ABCA1,0.4154157801339908,0.0,0.0,0.2441873283402729,0.030082579630357844,0.10017031868347759,0.3494737265154688,0.0,0.06434240362811791,0.505022565794319
ABCA10,0.0,0.0,0.1819636813777637,0.08859397417503587,0.0,0.0,0.0,0.0,0.0,0.5868213876013408
ABCA11P,0.0,0.0,0.16807803873865443,0.0,0.0,2.6321330806485575e-05,0.0,0.0,0.0,0.0
ABCA12,0.18001594571063864,0.0,0.0,0.0,0.0,0.3840548980822135,0.0,0.0,0.0,0.0
ABCA13,0.10282699422099731,0.0,0.0,0.0,0.14535991972206858,0.5767706692649944,0.0,0.17250201609939506,0.004346182917611489,0.0
ABCA17P,0.0,0.0,0.024936839150369608,0.0,0.0,0.4068765477024847,0.0,0.0,0.0,0.0
ABCA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838189573176403,0.0,0.0
ABCA3,0.0,0.0,0.0,0.11085810258956168,0.0,0.19391382780894195,0.0,0.0,0.0,0.0
ABCA4,0.0,0.0,0.15130532422569476,0.0,0.0,0.0912362789887399,0.0,0.0,0.14484207954442863,0.8548223292262319
ABCA5,0.0,0.0,0.21501643254956587,0.3061499837246321,0.0,0.0,0.0,0.0,0.0,0.0
ABCA6,0.0,0.0,0.13521100402358005,0.002152080344332855,0.0,0.0,0.0,0.0,0.0,0.6434542665797992
ABCA7,0.01799761620977354,0.0,0.13390100121643117,0.0,0.0,0.12521575105847307,0.0,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7109130182299799,0.029907904362721106,0.7956647330133735
ABCA9,0.0,0.0,0.10122110975952091,0.06545911047345768,0.0,0.0,0.0,0.0,0.10430839002267574,0.7037605220509133
ABCA9-AS1,0.0,0.0,0.0,0.42532719860400103,0.0,0.0,0.0,0.0,0.0,0.6036634493501079
ABCB1,0.0,0.8317279419552106,0.18492093197342566,0.0,0.0,0.15205690346095652,0.0,0.0,0.17779876933216898,0.0
ABCB10,0.0,0.0,0.0,0.0443012561382566,0.0,0.02326805643293325,0.0,0.0,0.0,0.0
ABCB11,0.09501608884944437,0.0,0.0,0.0,0.4159344084315194,0.576265283485369,0.0,0.0,0.0,0.0
ABCB4,0.0,0.5179216676782272,0.0,0.0,0.4692710411628009,0.09949522403522826,0.0,0.0,0.0,0.0
ABCB5,0.0,0.0,0.0,0.4235643409570396,0.0,0.4678584259725246,0.0,0.0,0.0,0.0
ABCB6,0.0,0.0,0.13387760830916065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,0.0,0.0,0.03293721343688594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB9,0.0,0.0,0.07857677552166183,0.0,0.0,0.15205832806906716,0.0,0.0,0.0,0.0
ABCC1,0.0,0.0,0.0,0.2224280764694711,0.0,0.2661688518350907,0.0,0.0,0.0,0.0
ABCC10,0.0,0.0,0.08386357256479836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC11,0.4973289514933873,0.0,0.0,0.0,0.0,0.4550739218812319,0.0,0.0,0.0,0.0
ABCC12,0.0,0.0,0.6847575554310148,0.0,0.0,0.11552305100321641,0.0,0.0,0.0,0.0
ABCC13,0.02850229658792651,0.0,0.0,0.0,0.7775505537419924,0.2793254562002201,0.0,0.0,0.0,0.0
ABCC2,0.18432981520811165,0.0,0.0,0.0,0.217149918879573,0.27229298001966773,0.0,0.2285452982137888,0.0,0.0
ABCC3,0.0,0.0,0.29486659452486647,0.0,0.18381205399481854,0.0,0.0,0.0,0.0,0.0
ABCC4,0.2460752993126246,0.13308383233532933,0.0,0.0,0.6691977361313703,0.22289460898441993,0.07412486938349007,0.0,0.0,0.0
ABCC5,0.0,0.0,0.1615307455800678,0.14374103299856528,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5-AS1,0.0,0.0,0.11137363151492467,0.0,0.3821817289573992,0.0,0.0,0.0,0.0,0.0
ABCC6,0.1808234838930185,0.23711682600362868,0.0,0.04860956618464961,0.03873377900117971,0.30605897362005674,0.0,0.0,0.0,0.0
ABCC6P1,0.0,0.0,0.17037054365116497,0.0,0.0,0.1558133576140826,0.3506104792253233,0.0,0.0,0.0
