gene,astrocyte,central nervous system macrophage,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
RIBC1,0.2290875191816258,0.0,0.0,0.8457239695260568,0.0,0.0,0.0,0.0,0.0,0.0
P2RY6,0.0,0.924472002868329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCML4,0.0,0.0,0.0,0.0,0.9272278435272396,0.057613334406957,0.0,0.0,0.0,0.0
POSTN,0.0,0.0,0.0,0.0,0.2893038729521059,0.2552312393076584,0.0,0.0,0.0,0.0
AC009014,0.0,0.0,0.0,0.0,0.0,0.4676456880450754,0.0,0.0,0.0,0.0
LINC02006,0.7494493439891784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL7R,0.0,0.0,0.0,0.0,0.9433282905869672,0.0182985747644737,0.0,0.0,0.0,0.0
OLFML2B,0.0,0.7383191521933831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM244,0.0,0.0,0.0,0.0,0.0,0.275661157301839,0.2161695454892092,0.0,0.0,0.0
KLHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9413822552631548,0.0,0.0
TBX6,0.6065589844795913,0.0,0.0,0.0,0.0,0.0,0.1984005318258445,0.0,0.0,0.0
ARHGEF15,0.0,0.0,0.5254149262708935,0.0,0.0,0.1277679362267493,0.0,0.0,0.0,0.0
TPTE2P2,0.4715116877939531,0.0,0.0,0.0,0.0,0.0,0.0,0.2595246684647899,0.0,0.0
MIR3976HG,0.0,0.0,0.0,0.0,0.0,0.4410902276694105,0.0,0.0,0.0,0.0
AC022523.1,0.0,0.0,0.0,0.0,0.0,0.4801510504121347,0.0,0.0,0.0,0.0
AC097467.3,0.0,0.0,0.0,0.0,0.0,0.5720355411880905,0.0,0.0,0.0,0.0
CDC42EP5,0.0,0.0,0.0,0.4970795778390979,0.0,0.1342700700539496,0.0,0.0,0.3778837588375244,0.0
TXK,0.0,0.0,0.0,0.0,0.6540897764660245,0.2218375070456558,0.0,0.0,0.0,0.0
AC016687,0.0,0.0,0.0,0.0,0.0,0.5985349030296768,0.0,0.0,0.0,0.0
