gene,astrocyte,central nervous system macrophage,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
AL590483,0.5700419311489445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-146P,0.0,0.0,0.0,0.0,0.0,0.40959209098773774,0.0,0.0,0.0,0.0
ANXA1,0.0,0.0,0.5083379877849176,0.4561570539579069,0.39217870620295214,0.18058740303459042,0.0,0.0,0.0,0.30062694053021255
AC006974,0.0,0.1003062787136294,0.0,0.0,0.0,0.5503370796569235,0.0,0.0,0.0,0.0
LINC01655,0.0,0.0,0.0,0.0,0.0,0.46471620139075237,0.0,0.13661037394451145,0.0,0.0
AC105339.1,0.7104991346234297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FZD7,0.7827866236203052,0.0,0.0,0.14554315078919636,0.0,0.0,0.0,0.0,0.0,0.0
LINC01194,0.0,0.0,0.0,0.0,0.0,0.3135270949341301,0.0,0.0,0.0,0.0
CCDC13-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.7752741054811669,0.0,0.0,0.0
TNFSF15,0.0,0.10333081925731237,0.2439005655150308,0.0,0.0,0.1643045323705908,0.0,0.0,0.0,0.0
LINC02237,0.0,0.0,0.0,0.0,0.0,0.2010416158462214,0.0,0.0,0.44996750311211764,0.0
DRD5,0.0,0.0,0.0,0.0,0.0,0.6964227071174249,0.0,0.0,0.0,0.0
ROR1-AS1,0.28269743728759456,0.0,0.15288538928050005,0.0,0.0,0.0,0.05708661417322835,0.0,0.49519154452488545,0.0
ITPR3,0.0,0.0,0.8858736668651195,0.30674643909457633,0.06114035087719298,0.11104064009367225,0.0,0.0,0.0,0.0
EYS,0.0,0.0,0.0,0.0,0.0,0.31980586480025425,0.0,0.0,0.0,0.0
WFDC10B,0.7144605859438424,0.0,0.0,0.0,0.0,0.0035005122700883058,0.0,0.0,0.0,0.0
AL160035,0.0,0.0,0.0,0.0,0.0,0.0,0.6442458732013943,0.0,0.0,0.0
AL049649,0.14584688015493186,0.07351803093153693,0.0,0.0,0.0,0.0,0.0,0.4808672743091292,0.0,0.0
AF186192.2,0.1947566960513716,0.0,0.0,0.09877052848224027,0.0,0.0,0.20664217244583558,0.1939429541691593,0.20880007921108756,0.0
SP9,0.0,0.0,0.0,0.08048828900357284,0.0,0.5073072331118523,0.0,0.0,0.0,0.0
CDCA7,0.0,0.0,0.0,0.0,0.0,0.6584350227940162,0.0,0.0,0.0,0.0
AC104078.1,0.5929750515942434,0.0,0.0,0.0,0.0,0.0,0.7123430657834294,0.0,0.0,0.0
ADAMTS15,0.0,0.0,0.0,0.5622697883069622,0.0,0.16525589110601552,0.0,0.0,0.013876967095851216,0.0
CCND1,0.0,0.4645760888012315,0.18444599465178468,0.3059033019962316,0.0,0.0,0.0,0.5331782711503854,0.32419857720887524,0.0
C20orf166-AS1,0.0,0.0,0.0,0.0,0.0,0.6872652568056277,0.0,0.0,0.0,0.0
NPM1P10,0.0,0.8437371516034211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
