gene,astrocyte,central nervous system macrophage,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
GRAP2,0.0,0.0,0.0,0.3199196590146601,0.945790944068408,0.0112961572588901,0.0,0.0,0.0,0.0
FCRL6,0.0,0.0,0.0,0.0,0.9809702841926018,0.0,0.0,0.0,0.0,0.0
GNLY,0.0,0.2871040403152196,0.0,0.0,0.9540888775315416,0.0,0.0,0.0,0.0,0.0
PTPRCAP,0.3476180879058173,0.1428030607960745,0.0,0.0,0.9295372471701124,0.0,0.2195927169249238,0.2117914882123702,0.0,0.0
NFATC2,0.3678130185777005,0.6022791491371251,0.1339718625044452,0.0,0.8358637857368011,0.0,0.0,0.0,0.0,0.0
CST7,0.0,0.0,0.0,0.0,0.9872279201338792,0.0,0.0,0.2080370578605328,0.0,0.0
FGFBP2,0.0,0.0,0.0,0.0,0.9933638999009832,0.0,0.0,0.0,0.0,0.0
GZMA,0.0,0.0,0.0,0.0,0.993453005448725,0.0,0.0,0.0664869721473495,0.0,0.0
HLA-B,0.0,0.3886895819735781,0.6132649986957404,0.0075200534759358,0.771472982960312,0.0,0.0,0.3230904701271642,0.3535145759852254,0.0
SH2D1B,0.0,0.0,0.0,0.0,0.9001459468526227,0.1866766773599071,0.0,0.0,0.0,0.0
LAPTM5,0.0,0.7917283076785764,0.0,0.0,0.8548628883667151,0.0,0.0,0.0,0.0,0.0
GPR65,0.0,0.5347311657121205,0.0,0.0,0.9539678895857,0.0,0.0,0.0,0.0,0.0
CCL4,0.0,0.0,0.0,0.0,0.9948179998402013,0.0,0.0,0.0,0.0,0.0
PYHIN1,0.0,0.0,0.0,0.0,0.9915219018665224,0.0,0.0284178187403993,0.0,0.0,0.0
CD3E,0.0,0.0,0.0,0.0,0.9867705672013504,0.0,0.0,0.0,0.0,0.0
TNFSF8,0.0,0.6088205900375172,0.0,0.0,0.9335730560360496,0.0,0.0,0.0,0.0,0.0
FCMR,0.0,0.0,0.0,0.0,0.9840878935363456,0.0,0.0,0.0,0.0,0.0
CD2,0.0,0.0,0.0,0.0,0.9901234972760594,0.0,0.0,0.0,0.0,0.0
TRGC2,0.0,0.0,0.6114420026706902,0.0,0.9344077759601884,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.7380860595867834,0.0,0.0,0.914970218405777,0.0,0.0,0.0,0.0,0.0
AC078845,0.0,0.4563396991610244,0.0,0.0,0.9077240317362368,0.0,0.0,0.0,0.0,0.0
CXCR4,0.3374305203065189,0.2677350678752646,0.0,0.0,0.923402549230982,0.0,0.2545795791027111,0.0,0.0,0.0
LINC00861,0.0,0.0473814056081155,0.0,0.0,0.940935976957552,0.0300832707665005,0.0,0.0,0.0,0.0
AC010247.1,0.0,0.4206154170131237,0.0,0.0,0.0,0.0143505562760221,0.0,0.0,0.0,0.0
CX3CR1,0.0,0.8694496333293497,0.0,0.0,0.675682341698596,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.9771679750338176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM28,0.0,0.944417607996098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL13RA1,0.0,0.7958666106003337,0.3268891327163438,0.0,0.0,0.0,0.0,0.0,0.2949035297526305,0.0
IRF8,0.0,0.9750472068981322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3R5,0.0,0.8024786036307511,0.0,0.0,0.8735478245955758,0.0,0.0,0.0,0.0,0.0
FGD2,0.0,0.9826556155964888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008914,0.1441283187616779,0.6308409341799825,0.0,0.0,0.0,0.0,0.0,0.2431670607819467,0.0,0.0
CCDC26,0.0,0.81027385157402,0.0,0.0,0.0,0.0,0.0,0.23132017594629,0.0,0.0
ABCB4,0.0,0.3534596186649994,0.0,0.2858864449685854,0.0,0.0040270288717493,0.0,0.0,0.6234886117519673,0.0
CSF3R,0.0,0.9780833114666924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIF1,0.0,0.9592443542444704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS10,0.0,0.9677994592179852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00996,0.0,0.9841349970252864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCR,0.0,0.9022630265127458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHBDF2,0.0,0.7494864576842093,0.0,0.0,0.4436817608907405,0.0,0.0,0.0,0.0,0.5232833229857138
P2RY12,0.0,0.933034187253884,0.0,0.0,0.0,0.0,0.0,0.0555799006719252,0.0,0.0
SYK,0.0,0.9793828050668412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP100,0.0,0.4973739188402747,0.4492577477860371,0.4397210050629307,0.4046208638288453,0.0,0.0,0.0,0.4256742273954216,0.4267874419393739
P2RY13,0.0,0.965637378626014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP003481,0.0,0.9658195922490496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139125.1,0.0,0.9786658460064874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFEC,0.0,0.9407745320955562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01268,0.0,0.9811200260649986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBXAS1,0.1764434804473267,0.9400760323623072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1IP,0.0,0.7994913330653717,0.0,0.0,0.6572476224510935,0.0,0.0,0.0,0.1294503787755601,0.0
