gene,astrocyte,central nervous system macrophage,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
AL162511,0.6571167896033386,0.0,0.0,0.0,0.0,0.0,0.8368634950295961,0.0,0.0,0.0
LINC02032,0.0,0.0,0.0,0.9633040380859693,0.0,0.0,0.0,0.0,0.0,0.0
LINC02283,0.0,0.0,0.0,0.0,0.0,0.0,0.28154517519138095,0.9727334187013467,0.0,0.0
HBB,0.0,0.1294113518603664,0.21504055273672923,0.0932984949832776,0.0,0.0,0.0,0.0,0.2707388714051026,0.9206951647980106
HBA2,0.002482895608033547,0.0,0.24538157799982904,0.0,0.0,0.0,0.0,0.0,0.3360209211646181,0.8620428171894414
NSUN7,0.0,0.4486951629518779,0.3461767171574864,0.0,0.0,0.0,0.0,0.5408643052521123,0.0,0.0
VSNL1,0.0,0.0,0.0,0.0,0.0,0.19300605245460659,0.0,0.0,0.0,0.3419763636010186
PLEKHH2,0.38259114763717716,0.0,0.09171460241761747,0.39319922128487994,0.0,0.0,0.09570132170064445,0.6238549139442732,0.1594644023514043,0.2526913190975691
AC034226,0.0,0.0,0.0,0.0,0.0,0.09630127774041694,0.0,0.5159159687560662,0.0,0.0
RXFP2,0.0,0.0,0.0,0.0,0.0,0.7151578329119601,0.0,0.0,0.0,0.0
FAM160A1,0.0,0.0,0.0,0.0,0.0,0.11087760591795562,0.0,0.4144174071230652,0.10779213277834651,0.0
LINC02119,0.0,0.0,0.0,0.0,0.0,0.3075001819331205,0.0,0.17635730007336758,0.0,0.0
TTC29,0.3912371537372209,0.0,0.0,0.0,0.0,0.056018829858776056,0.0,0.0,0.0,0.0
GDNF-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.31165182943093706,0.8304583007805347,0.0,0.0
SNRPGP10,0.0,0.0,0.0,0.0,0.0,0.03392737054472091,0.0,0.44873983476907686,0.0,0.0
SLC24A4,0.2567128410610073,0.0,0.0,0.0,0.0,0.09623402824478816,0.0,0.46554542966641244,0.0,0.0
AC121758.1,0.6176024791026606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTER,0.0,0.3700474412593431,0.0,0.3474976913093396,0.5906235082313172,0.0,0.0,0.0,0.33385804485086,0.0
GPR101,0.0,0.0,0.0,0.031130876747141042,0.0,0.322330449291513,0.0,0.0,0.0,0.0
ENTHD1,0.0,0.0,0.0,0.0,0.0,0.33739676939385144,0.0,0.16471019809244314,0.0,0.0
AC110058,0.0,0.0,0.0,0.0,0.0,0.6757947336275081,0.0,0.0,0.0,0.0
ATXN8OS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874670571326255,0.0,0.0
UPB1,0.0,0.0,0.0,0.0,0.0,0.23739071956960323,0.0,0.0,0.7339117263925156,0.0
PRRG4,0.0,0.7138505898134909,0.0,0.0,0.0,0.05445527908540686,0.0,0.0,0.0,0.0
SEMA3D,0.0,0.0,0.0,0.0,0.0,0.20124411566913247,0.0,0.0,0.09371523915461624,0.0
ALKAL2,0.0,0.0,0.0,0.0,0.0,0.2123829600124153,0.044287696577243296,0.0,0.0,0.0
ATP8B4,0.0,0.8952001032587343,0.0,0.0,0.19345861682995233,0.0,0.0,0.0,0.0,0.0
P2RY1,0.8652506083139744,0.0,0.0,0.025108695652173912,0.0,0.0,0.0,0.0,0.0,0.0
AC090124.2,0.0,0.04695531830763147,0.0,0.0,0.0,0.5605809236313539,0.0,0.0,0.0,0.0
AC073325.1,0.0,0.0,0.0,0.0,0.0,0.6903020976409272,0.0,0.0,0.0,0.0
ADORA2A,0.0,0.0,0.0,0.0,0.0,0.22180564895763283,0.0,0.0,0.27305522619760664,0.0
GPR6,0.0,0.0,0.0,0.0,0.0,0.583798992822232,0.0,0.0,0.0,0.0
DRD2,0.0,0.0,0.0,0.0,0.1082648306325282,0.6077913106119028,0.0,0.0,0.0,0.0
ADORA2A-AS1,0.0,0.0,0.0,0.1557337992376112,0.0,0.6246174124155551,0.0,0.0,0.0,0.0
LINC00457,0.0,0.0,0.0,0.0,0.0,0.6592736440141153,0.0,0.0,0.0,0.0
AC016987.1,0.0,0.0,0.0,0.0,0.0,0.37864824129855534,0.0,0.0,0.0,0.0
CNTNAP3B,0.11487274260010916,0.0,0.0008673026886383347,0.0,0.0,0.15958305312710155,0.0,0.0,0.0,0.0
AGBL1,0.042237604181381554,0.0,0.0,0.0,0.0,0.5414080632449327,0.0,0.05365003668378577,0.0,0.0
EBF1,0.0,0.0,0.2644825193509678,0.3194152980914824,0.0,0.2065400134498991,0.0,0.0,0.45860410294545506,0.46978381239964273
MDFIC2,0.0,0.0,0.0,0.0,0.0,0.1428540037326353,0.47426000024074244,0.0,0.0,0.0
DRD1,0.0,0.0,0.0,0.0,0.0,0.3121661355704084,0.0,0.0,0.0,0.37045495247507676
AL139042,0.0,0.0,0.0,0.0,0.0,0.7022919128526774,0.0,0.0,0.0,0.0
TH,0.0,0.0,0.0,0.0,0.0,0.3472836508322016,0.0,0.169479090242113,0.0,0.0
AC138646,0.0,0.0,0.0,0.0,0.0,0.6521690361405181,0.0,0.0,0.0,0.0
OTOGL,0.03280007848214543,0.0,0.0,0.0,0.0,0.0,0.0,0.4586300849647411,0.0,0.7617207346810798
LINC02465,0.0,0.0,0.0,0.0,0.0,0.6080949292590085,0.0,0.0,0.0,0.0
AL445584.2,0.0,0.0,0.0,0.0,0.0,0.7248807881522202,0.0,0.0,0.0,0.0
RGS13,0.0,0.0,0.0,0.0,0.0,0.5159600955773908,0.0,0.0,0.0,0.0
PTPRQ,0.0,0.0,0.0,0.0,0.0,0.618565496800169,0.0,0.0,0.0,0.0
