gene,Bergmann glial cell,astrocyte,central nervous system macrophage,choroid plexus epithelial cell,endothelial cell,ependymal cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
LGALS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009172077922077922,0.0,0.38256576430986766,0.0,0.5109367713166062,0.21016217172634535
LINC02343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8720650020299638,0.0,0.0,0.0
GNA14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.794179534323255,0.0,0.0,0.0
GNA14-AS1,0.0,0.0,0.0,0.0,0.09418534221683827,0.0,0.0,0.0,0.0,0.8504320049353982,0.0,0.0,0.0
LINC01549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559079970463639,0.0,0.0,0.0
AC114485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9106651404661341,0.0,0.0,0.0
MBOAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.1417957042957043,0.01697224975222993,0.0,0.7533638648427652,0.0,0.0,0.0
CNDP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9105832214638653,0.0,0.0,0.0
AC109492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18325368144889226,0.0,0.839134236201711,0.0,0.0,0.0
AC090502.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929540258489236,0.0,0.0,0.0
LINC01949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9372763044308631,0.0,0.0,0.0
TRPM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853712199066502,0.0,0.0,0.0
LINC01608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9059996087269203,0.0,0.0,0.0
LINC01792,0.0,0.0,0.04098826202196138,0.0,0.0,0.0,0.0,0.0,0.0,0.8464818558381931,0.0075,0.0,0.0
AL354809,0.0,0.0,0.0,0.0,0.0,0.0,0.03565323565323565,0.0,0.0,0.7672497411294782,0.0,0.0,0.0
LINC01098,0.0,0.0,0.0,0.0,0.20704603902616037,0.0,0.0,0.0,0.0,0.6658598632849542,0.0,0.0,0.0
ANGPTL4,0.0,0.858874850124743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06983474209202101,0.0,0.0,0.0
TNR,0.3542242147722487,0.42432654776573564,0.0,0.0,0.0,0.0,0.0,0.0,0.029808327825512227,0.0,0.8328940834622012,0.0,0.0
AL121672.2,0.0,0.3787707079438398,0.0,0.0,0.0,0.0,0.12063492063492064,0.0,0.008030403172504957,0.0,0.0,0.0,0.0
KANK2,0.42559815731179124,0.3914459987695214,0.0,0.0,0.2997116662206211,0.0,0.4890125934898836,0.0,0.0,0.0,0.0,0.4965592315939614,0.5781835838029076
AC110285.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7669620433672389,0.6417389793288022,0.0,0.0
HPN-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956010642911692,0.0,0.0,0.36156899833911005
VWA1,0.0,0.0,0.0,0.0,0.08073714074746732,0.0,0.0,0.0,0.0,0.715899560762501,0.0,0.0,0.0
PLLP,0.0,0.0,0.0,0.0,0.25213713215415445,0.0,0.0,0.0,0.0,0.6521876380283067,0.45729133260630783,0.0,0.0
AL078590,0.0,0.0,0.4194811565029928,0.0,0.0,0.0,0.0,0.0,0.0,0.7638260053657671,0.0,0.0,0.0
CD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36693931598852997,0.0,0.5048555091182662,0.0
APCDD1,0.0,0.2909344928343549,0.0,0.0,0.48786558426240195,0.012589928057553957,0.46662939373409634,0.0,0.0,0.0,0.44268133576583163,0.11414709350292392,0.0
DCT,0.0,0.672463093973224,0.0,0.0,0.0,0.6230273879760704,0.0,0.0,0.0618473231989425,0.0,0.0,0.0,0.0
ACAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10244414814972799,0.11391275611368143,0.0,0.855010583749935,0.0,0.0
KLHL35,0.0,0.0,0.0,0.0,0.0,0.0,0.033455433455433455,0.0,0.3503023639919221,0.3108297449978652,0.0,0.0,0.0
IGF2BP2,0.0,0.0,0.0,0.0,0.04102642901044868,0.33384133029710683,0.2756183002572161,0.0,0.004643093192333113,0.0,0.6429420624984591,0.02255197853789403,0.09820983660659292
AC020909.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6013857737546059,0.6671974470671145,0.0,0.0
TMEM123,0.0,0.0,0.0,0.0,0.2553874753949569,0.37103515946505805,0.0,0.06387987012987013,0.0,0.3444040485981794,0.0,0.0,0.0
TMEM235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8851468386266036,0.0,0.0,0.0
MCAM,0.0,0.12635143844904712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28241390788946696,0.7376864566258439,0.8125808029477847
DAPL1,0.0,0.0,0.03573877652555347,0.0,0.0,0.0,0.0,0.0,0.17303823748988084,0.0,0.6277748830220093,0.0,0.0
GPR17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684092565759259,0.0,0.0
FIBIN,0.0,0.5585308989949147,0.0,0.0,0.0,0.0,0.6353526717966362,0.0,0.0,0.0,0.7999824246805103,0.0,0.0
BCAN,0.0,0.6146016079459526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9177987655095379,0.0,0.0
AL034405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5808204800175445,0.0,0.0,0.0
SOX4,0.0,0.0,0.07506329113924051,0.0,0.0,0.0,0.0,0.0,0.3239227052525615,0.0,0.4578067721714484,0.0,0.0
MDFI,0.0,0.0,0.0,0.0,0.2233760228926118,0.0,0.7851295968932592,0.0,0.0,0.07603938730853392,0.0,0.8083368280755113,0.0
TNS3,0.3325611660119308,0.0,0.35031304754372705,0.0,0.0,0.22235049845277838,0.0,0.0,0.0,0.0,0.49263501104148016,0.1488933601609658,0.021078092605390463
ADAMTS20,0.0,0.0,0.0,0.0,0.0,0.0,0.17045177045177046,0.0,0.5734610924841745,0.0,0.0,0.0,0.0
ZNF469,0.0,0.0,0.08869746308216585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8792276055689708,0.0,0.0
ADAM33,0.0,0.349681299792211,0.0,0.0,0.0,0.0,0.9130256269377248,0.0,0.0,0.0,0.0,0.8895170475026123,0.0
COL11A1,0.0,0.0,0.0,0.0,0.0,0.0,0.5818688833539836,0.0,0.0,0.0,0.9495926363844656,0.0,0.0
HAS2,0.0,0.13920257398643232,0.0,0.0,0.0,0.4906248834091971,0.0,0.0,0.0,0.0,0.8882433245087968,0.0,0.0
AFAP1L2,0.0,0.0,0.0,0.0,0.6503455837927875,0.0,0.0,0.0,0.0,0.0,0.6757059062854907,0.34194819225562056,0.22100070929786247
INAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9253668597147725,0.0,0.0
CDH19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8153837020756798,0.32041408044074393,0.0,0.0
HRASLS,0.0,0.0,0.0,0.8878795429404216,0.0,0.0,0.0,0.0,0.19464305894681327,0.0,0.7845423685393965,0.0,0.0
RGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8774109830567973,0.0,0.0
SOX6,0.1936333690685642,0.45145933601613064,0.0,0.41226015896370566,0.0,0.37717646261142346,0.0,0.0,0.0,0.0,0.6037658839385451,0.0,0.0
PRRX1,0.5121794198972841,0.3873095291093681,0.0,0.0,0.0,0.0,0.4169019783530856,0.0,0.0,0.0,0.6359421375504904,0.3006648180112826,0.0
MTMR9LP,0.0,0.0,0.0,0.0,0.11099780881966315,0.0,0.0,0.0,0.0,0.0,0.7909183040871098,0.0,0.0
MEGF11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039583234469779065,0.0,0.9273189394353745,0.0,0.0
FERMT1,0.0,0.0,0.0,0.0,0.0,0.0,0.28479779309962894,0.0,0.0,0.0,0.9689989465542027,0.0,0.0
BCHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9207133830027874,0.0,0.0
CRISPLD2,0.0,0.0,0.0,0.0,0.0,0.0,0.026277897768178547,0.0,0.0,0.0,0.7896045385467867,0.2736966071669725,0.4372733851386786
PDGFRA,0.0,0.0,0.0,0.0,0.0,0.0,0.5178566968892546,0.0,0.0,0.0,0.9583311027621282,0.0,0.0
PTPRZ1,0.38008396883794066,0.4402826956225593,0.0,0.0,0.0,0.21675228094835056,0.0,0.0,0.0,0.0,0.7429611370614715,0.0,0.0
COL9A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9605552527856125,0.052930056710775046,0.0
ATP2C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629006345373511,0.0,0.0
BEST3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900172294133741,0.0,0.0
VCAN,0.0,0.6100087329878475,0.0,0.0,0.0,0.0,0.07154427645788337,0.0,0.0,0.0,0.8425194342187149,0.0,0.0
MROH9,0.0,0.0,0.0,0.0,0.0,0.0,0.05026223776223776,0.0,0.0,0.0,0.9760293110478019,0.0,0.0
AL445673,0.0,0.0,0.0,0.0,0.0,0.0764388489208633,0.0,0.0,0.0,0.0,0.8855627667472815,0.0,0.0
AC004852.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943024566199611,0.0,0.0
C1QL1,0.0,0.33302526587561687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9778224056705886,0.0,0.0
MMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9269918923832718,0.0,0.0
AF279873,0.0,0.1001282521069989,0.0,0.0,0.0,0.0,0.0,0.0,0.33568105913884505,0.0,0.16682744542265104,0.0,0.0
MIR3681HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942903740426962,0.0,0.09622861586314152
DBX2,0.6901767386545121,0.709616579688588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7773736799735181,0.0,0.0
FAM69C,0.0,0.17589430266195039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421103817165086,0.05660247915775415,0.01232394366197183,0.28824911421581856
FBLN2,0.0,0.0,0.0,0.0,0.41537423256679895,0.0,0.9421541258547169,0.0,0.0,0.0,0.5718544089186686,0.0,0.0
SULF2,0.0,0.0,0.0,0.0,0.18534242029004092,0.18566774731475325,0.18593611852156744,0.0,0.0,0.0,0.893521641968737,0.0,0.0
AL110292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07846646445873934,0.0,0.9527845299918445,0.0,0.0
NKAIN4,0.0,0.6553856228140158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7349043165469655,0.0,0.0
EN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6940106491147772,0.0,0.0,0.0,0.0
AC004594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795045947769765,0.0,0.0,0.0,0.0
WDR93,0.0,0.018927423891208668,0.0,0.0,0.0,0.9327298015978885,0.0,0.0,0.13243555849306016,0.0,0.0,0.0,0.0
AC138305.1,0.0,0.0,0.0,0.9615865909085852,0.0,0.0,0.0,0.0,0.5959602161058497,0.0,0.0,0.0,0.0
AC091096,0.0,0.0,0.0,0.0,0.0,0.10630926331145149,0.0,0.0,0.481915378180746,0.0,0.0,0.0,0.0
AC096639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4319319009547975,0.0,0.17158946026349342,0.0,0.0
IL16,0.0,0.0,0.20810915263716723,0.7416553328792674,0.0,0.6148878911610044,0.19043379722729126,0.1924163198679773,0.3950938074478787,0.0,0.0,0.0,0.0
U1,0.0,0.0,0.6866193255516931,0.0,0.0,0.0,0.0,0.190852551455772,0.0,0.0,0.0,0.0,0.0
ITPRIPL1,0.0,0.0,0.08242031258875397,0.0,0.05785047303942325,0.0,0.0,0.7460468840987728,0.0,0.0,0.13445788891145166,0.0,0.0
CBLN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8585287829560085,0.0,0.0,0.0,0.0
GRM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9491026516877121,0.0,0.0,0.0,0.0
GALNT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.819937019397894,0.0,0.06960526315789474,0.0,0.0
FAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771544032888708,0.0,0.0,0.0,0.0
ETV1,0.0,0.0,0.0,0.0,0.0,0.0,0.40885910166876815,0.0,0.25937134357730984,0.0,0.836304628853747,0.0,0.0
LINC01821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6831896876888466,0.0,0.0,0.0,0.0
AC130686,0.9206923768594455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2030568407138136,0.0,0.0,0.0,0.0
RN7SL138P,0.0,0.0,0.5562420731896962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7679393980399353,0.0
