gene,astrocyte,central nervous system macrophage,choroid plexus epithelial cell,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
AC105219,0.0,0.0,0.0,0.0,0.0,0.0,0.49202847029356656,0.0,0.0,0.0,0.0
NTNG2,0.6691698174001299,0.0,0.0,0.0,0.0,0.0,0.0,0.14200675296348497,0.0,0.0,0.0
SNTB1,0.4281570809688402,0.0,0.38516252830201647,0.0,0.5030711780268918,0.35338248667449934,0.0,0.06554110738255034,0.0,0.5441614478190097,0.6782690316005084
OLFML2B,0.0,0.7013477373206907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.08672890185472457,0.0,0.9241610617878542,0.0,0.0
POSTN,0.0,0.0,0.0,0.0,0.0,0.0,0.5466658066875207,0.0,0.0,0.0,0.0
MCTP2,0.0,0.23122619028478,0.0,0.0,0.7669126060854425,0.7352830231440324,0.14862525105616733,0.0,0.0,0.0,0.0
TMEM244,0.0,0.0,0.0,0.0,0.0,0.0,0.24816260137289572,0.24359417653513288,0.0,0.0,0.0
TACR1,0.0,0.0,0.0,0.04406233207952714,0.0,0.2951015612914926,0.1760509730590761,0.0,0.0,0.0,0.0
AC107208,0.0,0.0,0.0,0.0,0.0,0.0,0.4809518655084643,0.0,0.0,0.0,0.0
AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.4356901876352971,0.0,0.0,0.0,0.0
C6orf141,0.0,0.0,0.0,0.0,0.0,0.0,0.4041474145265339,0.0,0.0,0.0,0.0
SPON1,0.886621808537652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4380197108780828,0.009400776322173702,0.0
LINC01776,0.0,0.0,0.0,0.0,0.0,0.0,0.3302916963973506,0.0,0.15176497909893172,0.0,0.0
RGS8,0.0,0.0,0.0,0.0,0.0,0.0,0.639101171598501,0.0,0.0,0.0,0.0
TSPAN2,0.0,0.0,0.0,0.0,0.0,0.6797117914756494,0.23912667082207908,0.0,0.0,0.0,0.0
TRPC7,0.0,0.0,0.0,0.0,0.0,0.0,0.552925990485039,0.0,0.0,0.0,0.0
AC015909.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6439034354707286,0.0,0.0
SOX11,0.0,0.0,0.0,0.0,0.0,0.0,0.059889881570745894,0.0,0.7090144774199818,0.0,0.0
LINC01833,0.0,0.0,0.7873177286713973,0.0,0.0,0.0,0.0,0.18938758389261745,0.0,0.0,0.0
BMP5,0.0,0.0,0.0,0.0,0.9613168014217193,0.0,0.05651360897569084,0.0,0.0,0.0,0.0
GFRA1,0.4063541340440736,0.0,0.0,0.0,0.18473327172764106,0.0,0.0,0.0,0.833163031165841,0.0,0.0
PTGER3,0.0,0.0,0.0,0.0,0.0,0.0,0.4864716959682129,0.0,0.0,0.0,0.0
ST8SIA2,0.0,0.0,0.0,0.0,0.0,0.0,0.47970103798474784,0.0,0.0,0.0,0.0
GRB14,0.0,0.0,0.0,0.39226621170981724,0.0,0.0,0.27027358881684194,0.0,0.0,0.0,0.0
SV2C,0.0,0.0,0.0,0.0,0.0,0.0,0.6607778663740758,0.0,0.0,0.0,0.0
AK7,0.0,0.0,0.0,0.0,0.0,0.0,0.12082264034736029,0.2868261930771771,0.0,0.0,0.0
