gene,Bergmann glial cell,astrocyte,central nervous system macrophage,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
LINC01821,0.0,0.0,0.0,0.0,0.0,0.0,0.4328453531362474,0.0,0.0,0.0,0.0
AGPAT2,0.12860907976915975,0.0,0.2901788937762618,0.0,0.0,0.0,0.0,0.0,0.0,0.3270462634689886,0.0
AC037486,0.0,0.0,0.0,0.0,0.0,0.0,0.40969985313707324,0.0,0.0,0.0,0.0
COL19A1,0.0,0.0,0.0,0.0,0.0,0.0,0.4639980298383333,0.0,0.0,0.0,0.0
GALNT5,0.0,0.0,0.0,0.0,0.0,0.0,0.49565535860667587,0.0,0.0,0.0,0.0
LINC01151,0.0,0.0,0.0,0.0,0.0,0.0,0.3013817006554421,0.0,0.0,0.0,0.15571105997617601
CCDC175,0.0,0.0,0.0,0.0,0.0,0.0,0.6319587321615684,0.0,0.0,0.0,0.0
C6orf141,0.0,0.0,0.0,0.0,0.0,0.0,0.40223141545362073,0.0,0.0,0.0,0.0
GRB14,0.0,0.0,0.0,0.9195332995803899,0.0,0.0,0.0,0.012302006335797255,0.13517780482619857,0.2670557065967696,0.0
RMST,0.9227327669907768,0.4832836211161068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTR1,0.8651782247754243,0.24334433394782906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01606,0.6566579422027696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530664395229983,0.0,0.0
ENC1,0.0,0.0,0.0,0.08937700369913687,0.20698126610161796,0.5841978679609874,0.0,0.0,0.3580050405713173,0.0,0.0
PCDH11X,0.0,0.0,0.0,0.6433204045869578,0.0,0.0,0.0,0.0,0.7840479788273529,0.0,0.0
SYT10,0.0,0.8708628354524648,0.0,0.0,0.24572918085513046,0.0,0.0,0.0,0.0,0.0,0.0
HTR2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9508230510393328,0.0,0.0
INHBA,0.36587641033373075,0.5272813672891026,0.0,0.0,0.0,0.0,0.0,0.0,0.737113673520229,0.0,0.0
BCL11B,0.0,0.0,0.0,0.0,0.0,0.9281086870378874,0.0,0.0,0.6603716134965026,0.0,0.0
