gene,astrocyte,central nervous system macrophage,choroid plexus epithelial cell,endothelial cell,fibroblast,leukocyte,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,vascular associated smooth muscle cell
SYK,0.0,0.8976785537035018,0.0,0.0,0.0,0.5826635343814347,0.0,0.0,0.0,0.0,0.0
CYSLTR1,0.0,0.7164645973498552,0.0,0.26760782824048585,0.3953189573738241,0.31498879832213167,0.0,0.0,0.0,0.7070670799004766,0.0
CD79A,0.0,0.0,0.0,0.0,0.0,0.8184581599544588,0.0,0.029080014099400777,0.0,0.0,0.0
IKZF3,0.07249618835802905,0.03713188220230474,0.0,0.0,0.0,0.9794955545363214,0.0,0.0,0.0,0.0,0.0
IGHD,0.0,0.0,0.0,0.0,0.0,0.8860680656109258,0.0,0.0,0.0,0.0,0.0
CNR2,0.0,0.0,0.0,0.0,0.0,0.775392386678764,0.051693855679923795,0.0,0.0,0.0,0.0
CD37,0.0,0.8688552026956253,0.0,0.0,0.0,0.8228516744359918,0.0,0.0,0.0,0.0,0.0
FCRL2,0.0,0.0,0.0,0.0,0.0,0.8722493028871825,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.7913238305159672,0.0,0.0,0.0,0.8763594988031266,0.0,0.0,0.0,0.0,0.0
CYBA,0.0,0.7252900112334925,0.0,0.37077250958778263,0.16563737299893194,0.7189028670045493,0.0,0.0,0.0,0.4637911396929796,0.37457416297168306
ANTXR2,0.42456615702339595,0.02744807121661721,0.0,0.0,0.8167241888393206,0.41150336328696474,0.0,0.0,0.3251684873706722,0.3398180072270677,0.276223509258051
TFEC,0.0,0.9311164787118931,0.0,0.0,0.0,0.5279963224206362,0.0,0.0,0.0,0.0,0.0
NCKAP1L,0.0,0.8616650929287635,0.0,0.0,0.0,0.7927024424658045,0.0,0.0,0.0,0.0,0.021897810218978103
HLA-DRB6,0.0,0.875298434588596,0.0,0.34561069076715617,0.0,0.34497029018206976,0.0,0.0,0.0,0.0,0.0
RHOH,0.0,0.5716120175038646,0.0,0.0,0.0,0.9284763687716543,0.0,0.0,0.0,0.0,0.0
SP100,0.0,0.5982289688121587,0.0,0.45294802161354375,0.4753933182360246,0.4016218599551933,0.0,0.0,0.0,0.44137553130646145,0.41321323364050055
GPR65,0.0,0.6493968640932191,0.0,0.0,0.2506286885503099,0.9381053449430052,0.0,0.0,0.0,0.1417363566349941,0.0
LINC01825,0.0,0.2109329386986427,0.0,0.33972805996632305,0.0,0.7847301710852834,0.0,0.0,0.0,0.0,0.0
NCR3,0.0,0.0,0.0,0.0,0.0,0.985215337603238,0.0,0.0,0.0,0.0,0.0
MPEG1,0.0,0.8503176042890515,0.0,0.16445683136004968,0.0,0.6852290245250456,0.0,0.0,0.0,0.0,0.0
IL7R,0.0,0.0,0.0,0.0,0.0,0.978896334078477,0.0,0.0,0.0,0.055490654205607476,0.0
CD2,0.0,0.0,0.0,0.0,0.0,0.9931787364418557,0.0,0.0,0.0,0.0,0.0
TC2N,0.05913150400733597,0.0,0.0,0.3040355904954618,0.492165709512258,0.9310188683670826,0.0,0.0,0.0,0.0,0.16597510085431166
ARHGAP15,0.0,0.817242988368539,0.0,0.0,0.0,0.8382841414880445,0.0,0.0,0.3397268531133626,0.0,0.28971216609795847
GZMA,0.0,0.0,0.0,0.0,0.06399564902102974,0.9923633433293304,0.0,0.0,0.0,0.0,0.0
CCL5,0.0,0.0,0.0,0.0,0.0,0.9862852836085068,0.0,0.0,0.0,0.0,0.0
GRAP2,0.0,0.0,0.0,0.0,0.0,0.9684754290517031,0.0,0.0,0.0,0.0,0.0
THEMIS,0.0,0.0,0.0,0.0,0.0,0.9491548743690431,0.0,0.37369781649726275,0.0,0.0,0.0
PLAC8,0.0,0.1374768582359053,0.0,0.0,0.0,0.91654271489336,0.0,0.0,0.0,0.0,0.0
PIK3R5,0.0,0.8406597840695695,0.0,0.0,0.0,0.8043219275342495,0.0,0.0,0.0,0.0,0.042468480424684804
AREG,0.0,0.0,0.0,0.4200820721177688,0.0,0.9315254742639325,0.0,0.0,0.0,0.0,0.0
KLRF1,0.0064452532605398846,0.0,0.0,0.5476564544712135,0.0,0.9431774399753383,0.0,0.0,0.0,0.0,0.0
CCL4,0.0,0.42837277386788536,0.0,0.0,0.09318346627991297,0.972622156451614,0.0,0.0,0.0,0.0,0.0
ALOX5AP,0.0,0.905194347980517,0.0,0.0,0.0,0.7494527425134492,0.0,0.0,0.0,0.0,0.0
GNLY,0.0,0.5264375216469385,0.0,0.23356635672173592,0.0,0.9389095268495254,0.0,0.0,0.0,0.0,0.0
NKG7,0.0,0.0,0.0,0.0,0.09990705542323404,0.9934403478022218,0.0,0.0,0.0,0.0,0.0
RUNX3,0.0,0.19512918713612493,0.0,0.0,0.08885632425316256,0.9723472813363938,0.0,0.0,0.0,0.5432348278808969,0.0
S100A4,0.0,0.22432658173662062,0.0,0.1695035143524502,0.4861552214954796,0.776634787757813,0.0,0.0,0.0,0.17449010015208039,0.8583389369140042
PRF1,0.02305125872004853,0.0,0.0,0.0,0.0,0.9920505552316478,0.0,0.0,0.0,0.0,0.0
GIMAP7,0.0,0.3948667727975623,0.0,0.8351344803541187,0.1687851930801093,0.8443393007495718,0.0,0.0,0.0,0.14107953511497018,0.16543716491796998
BLNK,0.0,0.943764802848114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.3200193270522125,0.963229908960096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB1,0.0,0.8676858966459028,0.0,0.3086907823244831,0.0,0.2600946100359246,0.0,0.0,0.0,0.0,0.0
C1QA,0.0,0.9778501675944952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB5,0.0,0.8756792554546855,0.0,0.4638763770522319,0.0,0.038416988416988415,0.0,0.0,0.0,0.0,0.04346383543463835
HLA-DRA,0.0,0.8948559912227085,0.0,0.179457274044309,0.0,0.2679997317908116,0.0,0.0,0.0,0.0,0.18496319824084537
AL034397,0.0,0.950306855061043,0.0,0.0,0.0,0.41048277486070917,0.0,0.0,0.0,0.0,0.0
GPR183,0.0,0.8915841368812324,0.0,0.0,0.0,0.5027851284343658,0.0,0.0,0.0,0.0,0.0
AC060234,0.0,0.8237313742739518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7003745879797598,0.0
CD74,0.0,0.8750922969944973,0.0,0.32967170799128354,0.0,0.3273144203895378,0.0,0.0,0.0,0.0,0.0
MS4A4E,0.0,0.8205141589938462,0.0,0.0,0.0,0.7900136254634271,0.0,0.0,0.0,0.0,0.0
IFI16,0.22359544991138064,0.6735305120433419,0.0,0.42798083548121757,0.4199842563489049,0.3969918626219111,0.0,0.23219906919464608,0.356864425673165,0.2992380545409642,0.371018232904743
CD163,0.0,0.8685961565991228,0.0,0.0,0.0,0.5133170154174614,0.0,0.0,0.0,0.0,0.0
F13A1,0.0,0.4212485770476923,0.0,0.0,0.8168235734653371,0.0,0.0,0.0,0.0,0.0,0.04669075694180297
STAB1,0.06528662420382166,0.8645267819408927,0.0,0.34754827937613997,0.0,0.0,0.0,0.0,0.0,0.06971813136105441,0.22918986153876053
LILRB5,0.0,0.8033661840059159,0.0,0.0,0.11706091093183033,0.619546925846652,0.0,0.0,0.0,0.12657584359117674,0.0
MS4A6A,0.0,0.9350289737549549,0.0,0.048217919693942776,0.0,0.3266431673121814,0.0,0.0,0.0,0.0,0.0
LINC01684,0.0,0.8453581189778987,0.0,0.0,0.0,0.7789686268915033,0.0,0.0,0.0,0.0,0.0
MRC1,0.0,0.8585920502325475,0.0,0.06096537153904582,0.0,0.2972488339233506,0.0,0.0,0.0,0.0,0.0
MS4A4A,0.0,0.8440474843697063,0.0,0.07146556188503367,0.0,0.23598717765384433,0.0,0.0,0.0,0.0048189252336448595,0.30676438822454766
CYBB,0.0,0.9151054241477123,0.0,0.0,0.0,0.3685335570312096,0.0,0.0,0.0,0.0,0.0
TLR2,0.0,0.9331187671503011,0.0,0.0,0.0,0.4516495704289132,0.0,0.0,0.0,0.0,0.0
IL10RA,0.0,0.7768420761566985,0.0,0.0,0.0,0.8865599711842895,0.0,0.0,0.0,0.0,0.20664930463971481
LST1,0.0,0.9148592953166496,0.0,0.0,0.0,0.7465564920206474,0.0,0.0,0.0,0.0,0.0
RIN3,0.3210934470953794,0.8088111710622526,0.0,0.025323806636175034,0.18024010129747517,0.7380180832616231,0.0,0.0,0.3859478807996235,0.0,0.179537333448093
LYN,0.0,0.8345639812624902,0.0,0.2890676278108596,0.31919888540185704,0.7229158409332209,0.0,0.0,0.16642398870420372,0.3236706371128124,0.0
TBXAS1,0.002322817631806396,0.879065155617592,0.0,0.0,0.0,0.5153401847692389,0.0,0.0,0.0,0.0,0.0
IRAK3,0.0,0.6101532532824244,0.0,0.67628943916449,0.4649014008668326,0.31767600934267604,0.0,0.0,0.0,0.40719014434637935,0.39848836531333554
TNFRSF1B,0.0,0.5534841453932746,0.0,0.43601394727457354,0.3529787381398204,0.7883042333026027,0.0,0.0,0.0,0.41863922991434105,0.21998525708478983
LAPTM5,0.0,0.7960246531392445,0.0,0.28114914403659785,0.0,0.8966449653806021,0.0,0.0,0.0,0.0,0.0
FCN1,0.08151349711859265,0.0,0.0,0.0,0.0,0.9747126424154533,0.0,0.0,0.0,0.0,0.0
FCER1G,0.0,0.8992192563018618,0.0,0.0,0.0329042784626541,0.6979465890903012,0.0,0.0,0.0,0.0,0.0
CLEC12A,0.053154382772217165,0.3817978426820292,0.0,0.0,0.0,0.9409906149359833,0.0,0.0,0.0,0.0,0.0
HCK,0.0,0.8925253793688852,0.0,0.0,0.0,0.7402187950316652,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.9839152307505918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMSN1,0.0,0.919796651729793,0.0,0.0,0.0,0.6810309507441411,0.0,0.0,0.0,0.0,0.0
CSF1R,0.0,0.9055510580887027,0.0,0.0,0.010331581419111195,0.3541849528938731,0.0,0.0,0.0,0.43464323253725445,0.0
CD86,0.0,0.95126435538276,0.0,0.0,0.0,0.27589949104033606,0.0,0.0,0.0,0.0,0.0
TREM2,0.0,0.9884690491776583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD84,0.0,0.9145970866522967,0.0,0.012558259968928016,0.0,0.17351099422695668,0.0,0.0,0.0,0.09970079484746468,0.0
FGD2,0.0,0.9216076483941443,0.0,0.0,0.0,0.5319606396875883,0.0,0.0,0.0,0.0,0.0
LINC01468,0.0,0.9891257224684067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC1A3,0.5486230844475251,0.5937350669229242,0.0,0.0,0.50255766148895,0.0,0.0,0.4299445863811334,0.29526067857349286,0.43576621453910735,0.0
TMEM156,0.0,0.9087110554317304,0.0,0.5146260471698519,0.0,0.22111337528004193,0.0,0.0,0.0,0.0,0.0
RHBDF2,0.0,0.880468713470462,0.0,0.18897350176109196,0.0,0.5891542404090091,0.0,0.0,0.0,0.0,0.0
INPP5D,0.42956030258774835,0.8540446569995636,0.0,0.4692213731980475,0.0,0.3479997854997855,0.0,0.0,0.0,0.0,0.20213203099621568
CCDC26,0.0,0.8627091620418532,0.0,0.0,0.0,0.16361181771979894,0.0001041914741605144,0.0,0.2167972127626026,0.0,0.0
P2RY13,0.0,0.9817934566770209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLCO2B1,0.0,0.8425466213169027,0.0,0.7345443062753337,0.4490315006508786,0.0,0.0,0.0,0.0,0.0,0.09266380322789326
CLEC7A,0.0,0.9509714436782574,0.0,0.0,0.0,0.44828121213097744,0.0,0.0,0.0,0.0,0.0
FGL1,0.0,0.9747924842819475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FYB1,0.0,0.833319785963427,0.0,0.152937642852232,0.0,0.7909129455721339,0.0,0.0,0.0,0.0,0.0
CSF3R,0.0,0.9556432369736074,0.0,0.0,0.0,0.38786222506879786,0.0,0.0,0.0,0.0,0.0
LY86,0.0,0.9581871809997842,0.0,0.0,0.0,0.26477345051288714,0.0,0.0,0.0,0.0,0.0
P2RY12,0.0,0.9091468580937696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC079015,0.0,0.9800686603025293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC106865,0.0,0.9798101929632083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CX3CR1,0.0,0.9540767334592533,0.0,0.0,0.0,0.4848727332295407,0.0,0.0,0.0,0.0,0.0
APBB1IP,0.0,0.8885484169005256,0.0,0.0,0.0,0.6696926263785957,0.0,0.0,0.0,0.0,0.0
GPR34,0.0,0.9023409080415913,0.0,0.0,0.0,0.21459913971651062,0.0,0.0,0.0,0.0,0.0
TYROBP,0.0,0.8370513378406742,0.0,0.0,0.007342277012327774,0.8092570938586585,0.0,0.0,0.0,0.0,0.09327392669633759
AIF1,0.0,0.9356968381757094,0.0,0.0,0.0,0.37842027137801787,0.0,0.0,0.0,0.0,0.0
APOC2,0.0,0.9770647398085619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.9843294591894265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS10,0.0,0.9322764573175011,0.0,0.0,0.0,0.5771673700020572,0.0,0.0,0.0,0.0,0.0
TNFSF13,0.7069387909342573,0.49069484677212216,0.0,0.0,0.13726363070108177,0.0,0.0,0.0,0.0,0.0,0.4324115157466979
ITGAX,0.0,0.9058319551896934,0.0,0.0,0.0,0.7247392206704896,0.0,0.0,0.0,0.0,0.08803616595358342
TAGAP,0.0,0.8103421244943251,0.0,0.0,0.0,0.0,0.044102762562514886,0.0,0.0,0.0,0.0
OLR1,0.0,0.9185442098507041,0.0,0.0,0.0,0.09435130133486941,0.0,0.0,0.0,0.0,0.0
TNFRSF11B,0.14529873023038414,0.7491241467355366,0.0,0.0,0.0,0.0,0.0,0.0,0.7288544089663452,0.0,0.0
ZC3HAV1,0.267170755661953,0.3932190843107381,0.42454706280390386,0.40392844771486713,0.3631089190561541,0.4978717129699898,0.0,0.0,0.3982665741864632,0.4002226369048393,0.3073557706990807
SRGN,0.0,0.5040172198097391,0.0,0.8583020706089365,0.0,0.4538456128831716,0.0,0.0,0.0,0.16621544883210065,0.4078206861702571
HCG22,0.5708477816004245,0.9366905731335466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCRL2,0.0,0.5042211033230579,0.0,0.6881118658429372,0.28257272824826896,0.0,0.0,0.0,0.0,0.39066885349547914,0.0
HMOX1,0.0,0.7787495264437831,0.0,0.0,0.0,0.12353001897966895,0.0,0.0,0.0,0.0,0.0
SH3TC1,0.0,0.8866304824390043,0.0,0.08404999545774625,0.0,0.22909907727982848,0.0,0.0,0.0,0.0,0.0
FCGR2A,0.0,0.8489708784211772,0.0,0.0,0.0,0.49649717310538183,0.0,0.0,0.0,0.0,0.27238785250421327
RGS1,0.0,0.9138677646615067,0.0,0.0,0.05783176214648296,0.2960669589777571,0.0,0.0,0.0,0.0,0.0
SELE,0.0,0.0,0.0,0.886038551217363,0.0,0.0,0.0,0.0,0.0,0.03614589967894141,0.0
FLT1,0.0,0.3537578315862263,0.0,0.9503292960485743,0.0,0.0,0.0,0.0,0.0,0.39984690412436796,0.5654318554243529
PLA1A,0.0,0.0,0.0,0.9336697634634745,0.20565377194927428,0.0,0.0,0.0,0.0,0.0,0.2926926782407343
ENG,0.0,0.3586540373433841,0.0,0.788455444600741,0.6367038910231829,0.0054328137661471,0.0,0.0,0.0,0.3915438189723526,0.35982361254175077
CXCL1,0.0,0.0,0.0,0.8889947770797637,0.7012408332001427,0.0,0.0,0.0,0.0,0.1478136820350175,0.0
IL1R1,0.0,0.0,0.0,0.56418269432247,0.7845213019571746,0.0,0.0,0.0,0.0,0.34532584359117674,0.30784442476254464
ANO2,0.05653723140572779,0.0,0.0,0.8846974923238633,0.8206217686072382,0.0,0.0,0.03991892844554106,0.3160415995772333,0.0,0.404454942485972
TM4SF1,0.0,0.0,0.6325779767017322,0.7679755965778838,0.48177438133596795,0.0,0.0,0.0,0.31223438777279594,0.038989485981308414,0.4678598895530759
CALCRL,0.16254247791856036,0.0,0.0,0.4795973723039811,0.3760720990396399,0.0,0.0,0.0,0.7197297648776246,0.3900981617121391,0.4564229711560576
VCAM1,0.3646576606794527,0.0,0.0,0.9534866050848906,0.3715431447810876,0.0,0.0,0.0,0.0,0.1642531082240391,0.17777984468574823
